asubsystem,urho3d-FES,urho3d-OMP,urho3d-AUD,urho3d-SGC,urho3d-COR,urho3d-GMP,urho3d-EDI,urho3d-HID,urho3d-RES,urho3d-PLA,urho3d-SKA,urho3d-NIL,urho3d-SDK,urho3d-DEB,urho3d-PHY,urho3d-VFX,urho3d-LLR
urho3d-FES,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
urho3d-OMP,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
urho3d-AUD,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
urho3d-SGC,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
urho3d-COR,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1
urho3d-GMP,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1
urho3d-EDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urho3d-HID,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
urho3d-RES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urho3d-PLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urho3d-SKA,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
urho3d-NIL,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
urho3d-SDK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urho3d-DEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urho3d-PHY,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
urho3d-VFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urho3d-LLR,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
