Response ID,Group,Date submitted,Last page,Start language,Date started,Date last action,Which of these titles best describes your current job position?,Which of these titles best describes your current job position? [Other],How old are you?,What is your gender?,What is your country of residence?,What is your country of residence? [Other],How many years of software development experience do you have? ,Which of the following best describes your experience with game engines?,What game engines have you used? [Unreal Engine],What game engines have you used? [Unity],"What game engines have you used? [CryEngine or any of its derivatives (e.g. Amazon Lumberyard, O3DE)]",What game engines have you used? [Godot],What game engines have you used? [I never used a game engine],What game engines have you used? [Other],How mentally demanding were the tasks?,How physically demanding were the tasks?,How hurried or rushed was the pace of the tasks? ,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you? ","We would like to interview you to further understand how tools can help developers understand game engine architecture. The interview will take place via Zoom or other such secure video-conference system, at your convenience. If you would like to be interviewed, please inform your e-mail address.",Total time,Group time: Questions,Question time: Q1,Question time: Q12,Question time: Q11,Question time: Q13,Question time: Q2,Question time: Q3,Question time: Q4,Question time: Q5,Question time: Q6,Question time: Q7,Question time: Q8,Question time: Q9,Question time: Q10,Question time: Q14
2,ctrl,2023-08-29 20:40:18.000,14,en,2023-08-29 20:38:46.000,2023-08-29 20:40:18.000,Non-Video Game Developer,,23 to 27 years,Male,Brazil,,Between 5 and 10 years,I have used game engines as a student/hobbyist,No,Yes,No,No,No,,4,4,3,4,5,4,aaa.aaa.aaa@gmail.com,90.84,,6.64,5.54,3.5,4.36,5.3,5.07,5.59,6.46,5.46,5.52,4.45,8.55,12.69,11.71
3,trtm,2023-08-30 16:52:08.000,14,en,2023-08-30 16:48:32.000,2023-08-30 16:52:08.000,Student/Researcher,,23 to 27 years,Male,Brazil,,Between 5 and 10 years,I have used game engines as a student/hobbyist,No,Yes,No,Yes,No,,4,2,1,4,3,2,aaa@gmail.com,217.33,,8.14,10.35,6.73,22.3,27.89,12.37,26.05,9.87,8.77,7.07,9.95,8.37,6.8,52.67
4,trtm,2023-09-04 21:50:34.000,14,en,2023-09-04 21:44:06.000,2023-09-04 21:50:34.000,Non-Video Game Developer,,23 to 27 years,Male,Brazil,,Between 2 and 5 years,I have used game engines as a student/hobbyist,No,Yes,No,No,No,,3,3,2,4,4,3,,388.27,,82.41,38.26,16,5.94,13.51,13.94,7.17,27.96,14.32,65.33,43.34,12.11,12.93,35.05
5,trtm,2023-09-05 12:31:54.000,14,en,2023-09-05 12:29:39.000,2023-09-05 12:31:54.000,Student/Researcher,,23 to 27 years,Female,Canada,,Between 2 and 5 years,I never used a game engine,No,No,No,No,Yes,,4,2,3,5,3,1,aaa.aaa.1@aaa.aaa.ca,134.75,,6.44,4.49,3.68,9.75,5.29,10.79,7.09,9.1,7.66,12.15,6.11,9.7,6.96,35.54
6,ctrl,2023-09-07 17:45:19.000,14,en,2023-09-07 17:43:08.000,2023-09-07 17:45:19.000,Non-Video Game Developer,,23 to 27 years,Male,Brazil,,Between 2 and 5 years,I never used a game engine,No,No,No,No,Yes,,5,3,4,3,4,4,aaa.aaa@hotmail.com,132.32,,18.24,4.71,4.66,4.42,5.3,7.59,7.3,8.65,4.19,8.57,8.88,8.88,8.3,32.63
7,ctrl,2023-09-08 19:28:32.000,14,en,2023-09-08 19:26:13.000,2023-09-08 19:28:32.000,Non-Video Game Developer,,33 to 37 years,Male,Brazil,,Between 2 and 5 years,I have used game engines as a student/hobbyist,No,Yes,No,No,No,Game ,4,2,1,4,4,1,aaa@aaa.com,137.32,,7.95,8.59,4.58,4.35,5.89,12.4,11.64,9.85,9.19,11.5,9.89,7.85,8.74,24.9
9,trtm,2023-09-12 15:24:32.000,14,en,2023-09-12 15:21:00.000,2023-09-12 15:24:32.000,Non-Video Game Developer,,18 to 22 years,Male,Brazil,,Between 5 and 10 years,I have used game engines as a student/hobbyist,No,Yes,No,Yes,No,,3,2,3,4,1,4,aaa@aaa.link,210.45,,10.36,5.88,4.08,5.72,6.88,8.76,17.33,7.45,7.41,91.24,7.85,10.95,8.92,17.62
10,trtm,2023-09-18 12:12:21.000,14,en,2023-09-18 12:10:23.000,2023-09-18 12:12:21.000,Student/Researcher,,38 to 42 years,Male,Canada,,Between 5 and 10 years,I never used a game engine,No,No,No,No,Yes,,5,5,5,4,5,2,No,117.34,,8.82,7.22,4.3,6.96,9.16,5.26,9.14,10.25,7.49,9.8,6.88,11.7,10.17,10.19
11,trtm,2023-09-19 15:53:36.000,14,en,2023-09-19 15:51:02.000,2023-09-19 15:53:36.000,Student/Researcher,,23 to 27 years,Male,Canada,,Between 5 and 10 years,I never used a game engine,No,No,No,No,Yes,,3,3,3,3,4,1,,152.93,,8.55,4.81,3.7,32.9,7.22,9.3,7.76,22.09,5.83,4.33,7.59,11.07,22.21,5.57
12,trtm,2023-09-20 11:49:23.000,14,en,2023-09-20 11:46:37.000,2023-09-20 11:49:23.000,Student/Researcher,,33 to 37 years,Male,Canada,,Between 2 and 5 years,I never used a game engine,No,No,No,No,Yes,,3,1,2,4,3,2,,163.02,,6.3,7.53,3.86,6.59,7.19,24.54,11.83,9.35,7.73,11.08,7.76,6.45,36.66,16.15
13,ctrl,2023-09-23 09:11:30.000,14,en,2023-09-23 09:08:03.000,2023-09-23 09:11:30.000,Video Game Developer,,28 to 32 years,Male,Other,United Kingdom,Between 2 and 5 years,I have used game engines as a video game developer,Yes,Yes,No,No,No,My Own,4,1,2,5,4,1,aaa.aaa@gmail.com,204.23,,11.57,5.67,4.68,34.22,13.35,24.2,20.24,11.22,9.3,23.28,6.4,5.92,7.46,26.72
14,ctrl,2023-09-27 15:45:23.000,14,en,2023-09-27 15:41:04.000,2023-09-27 15:45:23.000,Student/Researcher,,33 to 37 years,Female,Canada,,Between 2 and 5 years,I have used game engines as a student/hobbyist,No,No,No,No,Yes,,4,1,1,5,4,4,,254.02,,9.58,15.34,4.41,6.2,6.92,10.46,10.55,8.25,6.46,8.3,87.18,6.85,54.35,19.17
15,ctrl,2023-09-28 14:29:29.000,14,en,2023-09-28 14:26:34.000,2023-09-28 14:29:29.000,Other,Software Engineering Teacher,33 to 37 years,Male,Canada,,More than 10 years,I have used game engines as a game engine developer,Yes,Yes,No,No,No,I also coded my own homebrew engine,4,1,3,4,4,2,aaa.aaa@aaa.ca,171.92,,42.46,4.97,3.54,3.97,6.68,6.97,34.72,6.57,5.26,12.92,7.71,6.27,6.29,23.59
16,trtm,2023-09-28 18:42:59.000,14,en,2023-09-28 18:38:43.000,2023-09-28 18:42:59.000,Student/Researcher,,28 to 32 years,Female,Canada,,Between 0-2 years,I never used a game engine,No,No,No,No,Yes,,4,3,1,2,4,3,,256.03,,11.27,16.88,4,13.93,6.85,11.08,8.61,45.28,9.66,40.8,11.08,27.43,18.41,30.75
